mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.315278959274292,0.42511089065095403,0.8978396892547608,0.2656843228836741,100,15,2,log2,5,gini,balanced_subsample,False,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.8404625725041603,0.8311359927617017,0.8308128544423442,0.860971757710888,0.85311780906124,0.843300197296067,0.012005192761686665,8,0.8595060147132947,0.8626179179768665,0.8604484494272158,0.856174033246834,0.8554784062818089,0.8588449643292039,0.0026724863790302954
4.404919385910034,0.6363478173295706,1.183260726928711,0.4981940093571106,100,2,8,0.3,10,gini,balanced,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.8392427253485856,0.8289931817814615,0.8445926841484497,0.8553612686410417,0.860019088214241,0.845641789626756,0.011139118242572054,5,0.9170355680719684,0.9167183928306274,0.9144529636187878,0.9160326528880623,0.9147475279918569,0.9157974210802605,0.0010340572812217125
9.716810035705567,0.3883969648997995,0.7738767147064209,0.19201489277213488,100,10,2,0.5,20,gini,balanced_subsample,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8283852778181701,0.8216013927261565,0.8392346468906016,0.8414340070767292,0.8499917095679674,0.8361294068159248,0.010009789855576044,15,0.980273391926577,0.9795906823207128,0.9790771665139714,0.9808837522437118,0.9807005638763673,0.980105111376268,0.0006797751859345786
2.6124696254730226,1.8488691606172873,0.4472930908203125,0.06279217321077435,100,15,4,log2,5,entropy,,False,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.8396385697897986,0.8313096796083564,0.8317055240495694,0.8587744171392564,0.8524950156304976,0.8427846412434956,0.011084075530677605,9,0.8597615731083881,0.8618514953196449,0.8595068985614991,0.8549430852261996,0.8543065249705136,0.8580739154372491,0.0029382670932538036
12.117902421951294,4.265876823491608,2.840245008468628,0.6893416664548503,750,2,4,log2,5,gini,balanced,False,"{'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.840935162296221,0.8298555571712473,0.8322588984214694,0.8611313072560709,0.8525435449887373,0.8433448940267493,0.01193012983549865,7,0.8597819016170887,0.8626136249998737,0.85999377265808,0.8561494117611408,0.8555624727352044,0.8588202367542775,0.0026244280426652154
28.510307455062865,2.7578301205062243,2.7590951442718508,0.032557800162281735,750,2,1,log2,30,entropy,,True,"{'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}",0.8211267833195999,0.8066825004443151,0.8295667522983213,0.8250872473462266,0.8491161590630599,0.8263158884943046,0.013742829049268454,20,0.9999698228970221,0.9999699491610514,0.9999806816035329,0.9999268931270953,0.9999558209329004,0.9999606335443204,1.8626468154487745e-05
19.331805562973024,1.8623379361369283,1.497657871246338,0.29673410532980116,500,15,2,sqrt,15,entropy,,False,"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.8357609099575073,0.8257052493819981,0.8398162958654453,0.8455742167934984,0.8578777302819152,0.8409468804560728,0.010663449223695328,12,0.9726903531251357,0.9708154585556001,0.9710559915312191,0.9730092960628857,0.9708396698738145,0.971682153829731,0.000962371182500022
5.662567281723023,0.11668460905256402,0.8123923301696777,0.19899712733318367,100,5,2,0.3,5,entropy,balanced_subsample,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8428780314413584,0.8311683065936374,0.8381824277381933,0.8603073045417091,0.8566462978165833,0.8458364736262963,0.011034030715238832,4,0.8642106124411484,0.866716574628607,0.863302774071227,0.8600572834647657,0.859920548365728,0.8628415585942951,0.002584076863029775
4.847115135192871,0.4066651986292189,0.7061624526977539,0.2011941718142278,100,10,4,0.3,20,gini,balanced_subsample,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.826935194610053,0.8200947603121517,0.8343714151842697,0.8403494740923853,0.8486531081031896,0.8340807904604098,0.009984005990128494,17,0.9879568106312291,0.9877763793335077,0.9876869844008367,0.9885661608361305,0.9882346095277335,0.9880441889458875,0.00032114379880511165
9.07559313774109,0.7624170202928716,0.9251795768737793,0.07162775615496032,200,5,2,0.5,5,gini,balanced_subsample,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8418258122889504,0.8287770830303911,0.8407008870146866,0.8585421614722183,0.8606742345504766,0.8461040356713445,0.01195590370781963,2,0.8663442220065071,0.8687765722649443,0.8652689575338717,0.8625765033752901,0.8622865267477744,0.8650505563856775,0.0024234381473440137
11.238263940811157,0.28279183675463443,1.14404296875,0.5734261522891065,300,2,4,0.3,10,entropy,,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.8349571033881052,0.8265736836152716,0.8406201024348472,0.8524611022248074,0.8567211139105361,0.8422666211147135,0.01109295422877681,11,0.9522475754781112,0.9504952832809254,0.9490442570574016,0.9515353200894151,0.9488437959462298,0.9504332463704166,0.001339092911938388
20.559832859039307,1.4281763684951452,3.365628385543823,0.28887665134930157,500,2,2,sqrt,15,entropy,balanced,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': False}",0.8300292440179018,0.8198079750537217,0.8364839319470699,0.8386954098201735,0.8521512660096331,0.8354335653696999,0.010626289812052525,16,0.9974516130987313,0.997664367987927,0.9974089358568631,0.9978220717603933,0.9972200006462767,0.9975133978700382,0.00020922865394362494
21.110946559906004,3.324739037745525,2.397808074951172,0.7563875139985073,500,2,1,0.3,30,entropy,,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}",0.8217811384162992,0.8096594122113971,0.8319579758615675,0.8298091060378396,0.8447768256137953,0.8275968916281797,0.01161584463811493,19,0.9999766411545987,0.9999664137682338,0.9999811866596499,0.999913761668059,0.9999543062220283,0.9999584618945139,2.4188892501722666e-05
